id,subject,content,label
11,Thông báo điểm quá trình lớp PH1111,"Chào các em, 

Thầy vừa hoàn thiện việc nhập điểm trên hệ thống.

Các em theo dõi điểm của mình. Nếu ai có ý kiến gì về sai sót nhập điểm thì phản hồi lại cho thầy.

Chậm nhất là vào thứ 6 ngày thứ 6, 15 tháng 1 để thầy hiệu chỉnh.

Sau thời gian trên hệ thống khóa lại thầy không điều chỉnh được nữa.

Trong quá trình ôn tập, nếu các em có vấn đề gì cần trao đổi thì gửi e-mail cho thầy.

Chúc các em ôn thi tốt.

thầy",Học tập
12,lịch học ngày 8.1.2021,"Gửi các bạn sinh viên lớp CH3316_119660

Do ngày mai lạnh và lịch học sớm và tiết kiệm thời gian để các bạn ôn thi nên ngày mai lớp của chúng ta nghỉ học. Về bảng điểm quá trình thày có post lên lớp học google class rồi nhé

Cám ơn các bạn

Thầy",Học tập
13,Thông báo nhắc lịch học VLĐC1- PH1111,"Chào các em, 

Tuần này, sáng thứ 4, thầy vẫn lên lớp để giải đáp thắc mắc cho các em.

Các em bố trí thời gian đến lớp. Để buổi học hiệu quả, các em chuẩn bị sẵn các câu hỏi hoặc các phần chưa nắm chắc ở nhà, đến lớp hỏi thầy.

Chúc các em học tốt, 

Thầy ",Học tập
14,"Nộp tiểu luận và ký Bảng điểm quá trình học phần Kinh tế chính trị - SSH1121
","Gửi các em sinh viên học Kinh tế chính trị - SSH 1121,

Theo thông báo gửi kèm tài liệu hướng dẫn qua email ngày 28/09/2020, tuần 14 theo lịch năm học 2020-2021 của trường Đại học Bách khoa Hà Nội là thời điểm nộp tiểu luận.

Như vậy, tuần học từ thứ Hai 07/12/2020 đến thứ Sáu 11/12/2020 là thời điểm sinh viên nộp tiểu luận trong buổi học lý thuyết.

Lưu ý rằng, khi nộp tiểu luận, sinh viên đồng thời phải ký tên xác nhận lên Bảng điểm quá trình. Nếu không có chữ ký, sẽ không có điểm quá trình. Trường hợp sinh viên vắng mặt buổi học tuần 14 vì lý do bất khả kháng, có thể ủy quyền cho bạn ký thay.

Tất cả trường hợp không nộp bài đúng quy định, sẽ nhận điểm quá trình dưới 3.0

Các em lưu ý thực hiện đúng, để đạt kết quả tốt.",Học tập
15,Thông báo đổi lịch thực hành IT1140 lớp 699173,"Thân gửi các bạn lớp 699173! 
Thầy được phân công hướng dẫn thực hành lớp 699173 môn tin đại cương cho các em, do thứ 3 tới ngày 20.10 .2020 theo lịch các bạn thực hành buổi đầu. Do có kế hoạch đặc biệt phòng máy đã được sử dụng. Vậy các em sẽ được nghỉ và lịch thực hành sẽ bù vào tuần 10 Tuần nghỉ giữa kỳ ngày 10.11.2020) theo đúng kíp mong các em thông cảm. 
Đầu tuần thầy sẽ gửi tài liệu thực hành cho các em. 
Cảm ơn các em. 
P.T.Liêm",Học tập
16,Tài liệu thí nghiệm môn học BF3534 - Bài Thiết lập sơ đồ chức năng Đo và điều khiển,"Gửi các bạn Sinh viên! 

Gửi các bạn tài liệu để thực hiện thí nghiệm môn học Bài Thiết lập sơ đồ chức năng đo và điều khiển 

Các em cần in file Tài liệu (3 trang) để mang đến buổi thí nghiệm 

Còn các file khác, các bạn dùng để tham khảo. 

Chúc các bạn học tốt!",Học tập
17,ANHLE ENGLISH - LINK THI THỬ TOEIC ONLINE,"Chào các bạn !
Anh Lê Toeic gửi bạn hướng dẫn thi thử và link thi thử Toeic năm 2021 dành cho các bạn đã đăng ký.
Thời gian thi thử: từ ngày 06/09/2021 - 10/09/2021

HƯỚNG DẪN
Bước 2: Điền thông tin đã đăng ký vào phần MOCK TEST và chọn tiếp tục
Bước 3: File nghe nằm bên góc phải, phía trên chữ MOSK TEST và đề thi nằm bên trái. Học viên làm bài thi và đánh đáp án vào bảng theo thứ tự câu hỏi gồm 100 câu Listening và 100 câu Reading.
Bước 4: Nộp bài và kết thúc phần thi.

Lưu ý
Làm bài trên Laptop.
Điền đầy đủ đáp án cho 200 câu trắc nghiệm và không bỏ trống câu nào nhé. Nếu trống hệ thống sẽ không cho chuyển qua phần thi tiếp theo để làm bài.
Nếu chỉ thấy hiển thị 3 đáp án ABC thì ấn phím Ctrl + dấu (-) để thấy đáp án D.
Kết quả thi thử sẽ được thông báo qua mail cho từng bạn trong vòng 24h sau khi kết thúc thời gian làm bài.
Mọi thắc mắc các bạn có thể liên hệ Zalo : 0962017760
Chúc các bạn làm bài thi tốt nhé!",Học tập
18,Tốt hơn 1% mỗi ngày nếu anh chị hoàn thành khóa học tại Gitiho.com,"Kính gửi anh/chị: Lê,
Đã nhiều ngày trôi qua, chúng tôi không thấy anh/chị quay trở lại để hoàn thành các khóa học:
Khóa học EXG01 - Tuyệt đỉnh Excel - Trở thành bậc thầy Excel trong 16 giờ học được 0%
Vì vậy chúng tôi gửi email này với mong muốn anh/chị quay lại tiếp tục hoàn thành khóa học vì mục tiêu tốt hơn 1% mỗi ngày.
Anh/chị Lê Thúy Nga thân mến, khi anh/chị quyết định đăng ký khóa học tại Gitiho.com, chúng tôi biết rằng đó là một quyết định đúng đắn, vì chúng tôi có một niềm tin là các khóa học tại Gitiho.com sẽ giúp anh chị phát triển các kỹ năng quan trọng trong quá trình làm việc và điều đó sẽ giúp anh/chị có nhiều cơ hội vươn lên trong sự nghiệp. Nhưng có thể vì lý do bận rộn với công việc, bận rộn với gia đình đã khiến anh chị đã quên việc hoàn thành khóa học. Trong những lúc như thế này, chúng tôi xin được chia sẻ tới anh/chị tới công thức thành công:
Cố gắng 1% mỗi ngày để tốt hơn 1% mỗi ngày
Mỗi ngày anh/chị cố gắng 1% thì chỉ cần 72 ngày nữa thôi kỹ năng của anh/chị sẽ tiến bộ gấp đôi hiện giờ. Anh/chị hãy luôn nhớ nhé: Cố gắng 1% mỗi ngày để tốt hơn 1% mỗi ngày.
Để tiếp tục hoàn thành khóa học, anh/chị vui lòng truy cập website: Gitiho.com/Khoa_hoc_cua_toi
Hẹn gặp lại anh/chị trong khóa học.
Trân trọng.",Học tập
19,"Bài tập mới: ""Bài tập luồng vào ra""","Bài tập luồng vào ra 
Sử dụng luồng byte vào ra với đối 
tượng, viết ứng dụng sau: 



- Khởi 
tạo dữ liệu danh sách sinh viên SV(maSV - String, hoten - String, nhom - Int) 
từ file đã được lưu theo danh sách ArrayList<SV> đối tượng kiểu sinh viên 
từ trước 


- Cho 
phép người dùng thêm mới, cập nhập dữ liệu từ bàn phím, hiển thị ra màn hình và 
lưu xuống file",Học tập
20,"Thông báo mới: ""Các bạn thi vấn đáp online lúc 8h30 tối…""","Xin chào Lê Thị Tuyết Nhung! 
cong tran đã đăng một thông báo mới trong Nhom10_LTW_2022. 

THÔNG BÁO MỚI 
Các bạn thi vấn đáp online lúc 8h30 tối nay. 8h20 thầy sẽ gửi link lên classroom.",Học tập
21,"Bài tập mới: ""Pha kiểm thử""","

BÀI TẬP MỚIĐến hạn 29 thg 4
Pha kiểm thử
- Viết test plan cho test hộp đen của modul cá nhân
- Viết test case chi tiết cho từng test case trong plan (test case chuẩn viết trước)",Học tập
22,"Bài tập mới: ""Báo cáo tổng hợp""","Báo cáo tổng hợp
Báo cáo tổng hợp BTL phần cá nhân của từng người, chỉ trình bày phần kết quả của các mục sau mà KHÔNG trình bày quá trình diễn giải (đánh số đúng thứ tự như danh mục này):
- Trang bìa yêu cầu như các buổi đã nộp.
- Tên file yêu cầu như các buổi đã nộp.
1. Biểu đồ UC chi tiết + mô tả các UC của modul
2. Kịch bản chuẩn
3. Biểu đồ thực thể pha phân tích của modul
4. Biểu đồ lớp pha phân tích của modul
5. Biểu đồ tuần tự pha phân tích của modul
6. Biểu đồ thiết kế lớp thực thể của modul
7. Biểu đồ thiết kế CSDL của modul
8. TK giao diện và biểu đồ lớp thiết kế chi tiết của modul
9. Biểu đồ tuần tự pha thiết kế của modul
10. Test plan và test case chuẩn cho test hộp đen của modul
Lưu ý, điểm bài này tính 50% điểm BTLvà tính vào 1 cột TBKT của các bạn. Nếu đầu điểm này bị 0 điểm thì điểm BTL cũng là 0 và KĐ ĐKDT.
Và thầy không chữa hay nhận xét gì trong bài tổng hợp này nữa đâu nhé.
",Học tập
23,"Bài tập mới: ""Bài thực hành 2 - TỔ 1 BUỔI 2""","Xin chào Lê Thị Tuyết Nhung-B19DCCN489! 
PTIT Diep đã đăng một bài tập mới trong Nhóm 1-CSDL-D19 HK1-2021-2022. 

BÀI TẬP MỚIĐến hạn 12 thg 11 
Bài thực hành 2 - TỔ 1 BUỔI 2 
SV Làm bài theo hướng dẫn trong file đính kèm (vd với HeidiSQL), mỗi câu hỏi cần thực hiện các câu lệnh SQL tương ứng, kể cả yêu cầu nhập dữ liệu. 
Đối với mỗi câu hỏi text, chụp ảnh lệnh và kết quả thực thi, cùng với trang QLDT có tên và mã sinh viên để làm minh chứng.",Học tập
24,"Xin chào The black cat, học Tiếng Anh đòi hỏi thực hành mỗi ngày. Thực hành ngay bạn nhé?","
Email nhắc nhở học Tiếng Anh hàng ngày 
Xin chào The black cat! Vào thăm cú Duo đi nào! Hãy nhớ rằng để học ngôn ngữ bạn cần luyện tập từng chút một mỗi ngày. 




TIẾP TỤC HỌC",Học tập
25,[Đoàn Thanh niên PTIT - Thư mời tham dự các hoạt động chào mừng 25 năm Thành lập Học viện],"Thân gửi tới toàn bộ Sinh viên khoá D19 PTIT, 

Sau 25 năm xây dựng và trưởng thành, Học viện Công nghệ Bưu chính Viễn thông tự hào là một trong những tổ chức Giáo dục - Đào tạo hàng đầu cả nước về lĩnh vực Công nghệ thông tin và Truyền thông. Trong đó, không thể không kể đến những đóng góp to lớn từ các tiến sỹ, thạc sỹ, kỹ sư, cử nhân đã tốt nghiệp tại Học viện cho sự lớn mạnh và phát triển của các tổ chức, doanh nghiệp trong - ngoài nước ngành Thông tin và Truyền thông cũng như các ngành Kinh tế - Chính trị - Xã hội khác. 

Hướng tới ngày lễ trọng đại, Đoàn Thanh niên Học viện vinh dự tổ chức Hội trại “Vững bước tiên phong"" - Kỷ niệm 25 năm thành lập Học viện Công nghệ Bưu chính Viễn thông (1997-2022) với hàng loạt các hoạt động bổ ích, hấp dẫn, tạo sân chơi hoạt động cho toàn bộ sinh viên cùng lan tỏa niềm vui và tinh thần đoàn kết. Hội trại bao gồm những nội dung sau: 
• 05/09/2022 - 09/09/2022: Hội thao với bộ môn Kéo co, Nhảy bao bố 
• 08/09/2022: Talkshow “FPT Leader Talk”, Dựng trại 
• 09/09/2022: Trang trí trại, Tổng duyệt Khai mạc và Đêm nhạc 
• 10/09/2022: Khai mạc, Thi trại, Hội thi nấu ăn, Chung kết Hội thao, Đêm nhạc, Đốt lửa trại 
Không chỉ vậy, Hội trại “Vững bước tiên phong"" còn có sự đồng hành của rất nhiều Doanh nghiệp-Đơn vị tài trợ với vô vàn quà tặng hấp dẫn như Tập đoàn FPT, TT Anh Ngữ Jaxtina, CTY CP TM Nguyễn Kim, TT Anh Ngữ Hiền Nhung TOEIC,... Và đặc biệt hơn, tại Đêm nhạc có sự xuất hiện của Ca sĩ khách mời cùng toàn bộ người tham gia tạo nên không khí tưng bừng, năng động. 
➤ Link đăng ký: https://forms.gle/ZhQVwU3HoM5v4Riz8 
Bên cạnh các nội dung trên, Đoàn thanh niên tổ chức cuộc thi trực tuyến Hành trình tuổi 25 với ý nghĩa khơi dậy niềm tự hào về truyền thống 25 năm của Học viện, với nhiều giải thưởng hấp dẫn, chi tiết xem thêm tại https://by.com.vn/TGluH0 

Và để tạo nên sự thành công và không khí hân hoan cho Hội trại, Đoàn Thanh niên trân trọng gửi lời mời tham dự các hoạt động tới toàn thể Sinh viên Học viện. Sự tham gia của các bạn chính là một phần tạo nên sức mạnh đoàn kết, sức mạnh, vững bước tuổi 25 của Học viện Công nghệ Bưu chính Viễn thông. 
Rất mong các bạn sẽ đồng hành cùng Hội trại “Vững bước tiên phong"".",Học tập
26,THÔNG BÁO SINH VIÊN ĐỦ ĐIỀU KIỆN ĐƯỢC XÉT HỌC BỔNG KKHT HK 1 21-22,"Chào Em! 
Học viện Công nghệ Bưu chính viễn thông thông báo kết quả học tập rèn luyện của em kỳ 1 năm học 2021-2022, cụ thể như sau: 
Sinh viên mã SV: lớp, ngành: CNTT. Thông tin kết quả học tập, rèn luyện HK1 (2021-2022): Điểm TBC học tập:, điểm thưởng: , Điểm T5, Xếp loại rèn luyện: Tốt, Sinh viên đủ điều kiện và dự kiến được xét cấp học bổng KKHT HK1 (2021-2022) 
Nếu có thắc mắc, khiếu nại đề nghị các sinh viên liên hệ (Phải gửi từ email được Học viện cấp) 
- Thắc mắc về điểm TBCHT: Phòng Giáo vụ (ô số 1-2). Email cô Chu Phương Hiền: cphien@ptit.edu.vn 
- Thắc mắc về điểm thưởng, điểm rèn luyện: Phòng CT&CTSV (ô số 3-4). Email cô Lê Thị Kim Nhung: nhungltk@ptit.edu.vn 
Trân trọng ./. 
",Học tập
27,"Bài tập mới: ""Pha kiểm thử""",BÀI TẬP MỚIĐến hạn 29 thg 4 Pha kiểm thử - Viết test plan cho test hộp đen của modul cá nhân - Viết test case chi tiết cho từng test case trong plan (test case chuẩn viết trước),Học tập
28,2k1 9 Chuyên đề hàm số mũ và logarit,"Sử dụng máy tính casio để giải nhanh lũy thừa và logarit https://goo.gl/R5GmdW 
Tìm số chữ số của một lũy thừa bằng máy tính casio https://goo.gl/7FUMWc 
Giải nhanh hàm số mũ và logarit bằng máy tính casio https://goo.gl/H1V4E1 
Chuyên đề hàm số lũy thừa https://goo.gl/xvWXC4 
Hàm số mũ và hàm số logarit https://goo.gl/UeUh3z 
Chuyên đề logarit https://goo.gl/GF6uof 
Chuyên đề lũy thừa https://goo.gl/1Zz61m 
Ví dụ căn bản về hàm logarit https://goo.gl/TPPfr7 
Bài tập về lũy thừa https://goo.gl/mQBNLT",Học tập
29,"2k1 [Bản mới nhất] Mega Luyện Đề THPT Quốc Gia 2018 Toán Trắc Nghiệm - Trần Công Diêu, Trần kim Anh","[Bản mới nhất] Mega Luyện Đề THPT Quốc Gia 2018 Toán Trắc Nghiệm - Trần Công Diêu, Trần kim Anh https://goo.gl/GfyZPn 
-- 
Bạn nhận được thư này vì bạn đã đăng ký vào nhóm Google Groups ""Tài liệu 2k1"". 
Để hủy đăng ký khỏi nhóm này và ngừng nhận email từ nhóm, hãy gửi email đến chiasetailieumoingay+unsubscribe@googlegroups.com. 
Để đăng lên nhóm này, hãy gửi email đến chiasetailieumoingay@googlegroups.com. 
Để xem cuộc thảo luận này trên web, hãy truy cập https://groups.google.com/d/msgid/chiasetailieumoingay/13523a63-e18b-43f7-abc0-e16c6268f4ce%40googlegroups.com. 
Để có thêm tùy chọn, hãy truy cập https://groups.google.com/d/optout.",Học tập
30,Thông báo tập trung nhập học,"Hội đồng tuyển sinh 
Trường trung cấp Công nghệ Thăng Long thông báo: EM 
Đã trúng tuyển chương trình : Đào tạo song bằng hệ Trung cấp học Ngoại ngữ ( Tiếng Hàn, Nhật) + Chuyên ngành ( KT nấu ăn; chăm sóc sắc đẹp; Hướng dẫn viên du lịch) 
Thí sinh làm thủ tục nhận thư mời tập trung nhập học ngày 05/08/2019 tại Trường 
Địa chỉ: Ngõ 03 – Tôn Thất Thuyết – Cầu Giấy – Hà Nội ( thông tin chi tiết tại webside www.truongthanglong.edu.vn….) 
Thủ tục nhập học và nhận thư mời tập trung nhập học; 
a.Nộp bản chính học bạ, giáy chứng nhận tốt nghiệp THPT 
b.Phản photo công chứng CMND hoặc thẻ căn cước 
c. 4 ảnh 4x6 
d. Nộp kinh phí đào tạo; 
-Kinh phí đào tạo: 5.000.000 vnd/ đợt 1 của học kỳ 1 
-KTX : 2.880.000vnd/ năm học 
Nếu có bất kỳ thắc mắc nào liên quan đến khóa học hoặc cần thêm thông tin, xin vui lòng liên hệ ; 
Phòng Tuyển sinh: 0915.906.489/0984.835966/0989,274.588/0979.569.066 để được tư vần và hỗ trợ tốt nhất./.",Học tập
31,"THƯ MỜI THAM DỰ NGÀY HỘI TUYỂN DỤNG TRỰC TUYẾN PTIT ""Connect to Success""","🤗CÁC BẠN THÂN MẾN! 

Các bạn đừng quên mình có hẹn với Ngày hội Tuyển dụng trực tuyến PTIT “Connect to Success” nằm trong khuôn khổ chuỗi sự kiện việc làm PTIT CAREER WEEK ONLINE 2021 được diễn ra NGÀY MAI ngày 29/10/2021 nhé ! 
Thời gian: Sáng 9h-11h30 qua Zoom 
Chiều 14h-17h Gặp gỡ Doanh nghiệp trên trang tin Tuyển dụng trực tuyến jobnskills.ptit.edu.vn 
Vậy là hành trình “Ptit career week online 2021” của chúng ta sắp sửa khép lại, ngày mai sẽ là ngày đặc biệt và đáng mong chờ nhất của toàn thể học viện, doanh nghiệp và các PTITERS ! 

Đến với ngày hội, các bạn sẽ biết và nhận được các kiến thức mới nhất: 
📌 Gặp gỡ các đại diện của các công ty lớn giúp bạn hiểu biết hơn về văn hoá các doanh nghiệp 
📌 Rút ngắn quy trình tuyển dụng, tuyển dụng 1-1 ngay tại nhà 
📌 Các chuyên mục webinar đặc sắc từ các diễn giả dày dặn chuyên môn 

Đặc biệt là doanh nghiệp sẽ trao rất nhiều quà tặng trong Livestream từ 9h-11h30 cũng như buổi chiều từ 14h-17h tại các gian hàng tuyển dụng trực tuyến trên trang jobnskills.ptit.edu.vn các bạn nhé!!! 
Đăng ký nhận quà ngay tại Link này nha: 
https://forms.gle/9srBScccJQrKygHc9 

Tuần lễ việc làm và Tuyển dụng trực tuyến PTIT 2021 với sự tham gia của hơn 20 đơn vị đối tác Doanh nghiệp của trường như FPT, Sun Asterisk Việt Nam, CO-WELL Asia, Viettel, Gameloft, Toshiba, Mobifone... 
Trong đó, có 16 doanh nghiệp tham gia phỏng vấn tuyển dụng trực tiếp và trực tuyến tại Học viện vào Ngày hội Tuyển dụng trực tuyến 29/10. Các đơn vị tuyển dụng mang đến 2.689 vị trí việc làm ở nhiều lĩnh vực CNTT, Điện tử viễn thông, Kỹ thuật điện tử, Multimedia, Marketing, Quản trị kinh doanh, Tài chính Kế toán, Thương mại điện tử… 


Zoom Webinar 
ID: 941 9483 2585 
PASS: ptit 
CÚ PHÁP ĐẶT TÊN: Họ và tên + lớp 
THỜI GIAN MỞ ZOOM: 8h30 
BUỔI CHIA SẺ SẼ BẮT ĐẦU VÀO: 9h00 
VUI LÒNG TẮT MIC & BẬT CAM, THAY NỀN ẢO NHA! - file gửi kèm: 
https://drive.google.com/file/d/1hoj-btlHHt_Hn2GPlx8qIe2TiOdm9WXX/view 
",Học tập
32,Thông báo: Cập nhật thời khóa biểu học kỳ 2 năm học 2019-2020,"Phòng Giáo vụ thông báo: 
Hệ thống QLĐT đã cập nhật thời khóa biểu và ID phòng học các lớp học trực tuyến bắt đầu từ ngày 23/03/2020. 
Đề nghị các sinh viên truy cập vào hệ thống QLĐT để xem thời khóa biểu và cập nhật các phòng học này. 
Với các lớp học trực tuyến ID phòng học (khoanh tròn màu đỏ) được cập nhật tại TKB (Phòng học), cụ thể:",Học tập
